date_time,visibility
2023-12-20 04:40:00+00:00,10.0
2023-12-20 04:50:00+00:00,10.0
2023-12-20 05:00:00+00:00,10.0
2023-12-20 05:10:00+00:00,10.0
2023-12-20 05:20:00+00:00,10.0
2023-12-20 05:30:00+00:00,10.0
2023-12-20 05:40:00+00:00,10.0
2023-12-20 05:50:00+00:00,10.0
2023-12-20 06:00:00+00:00,10.0
2023-12-20 06:10:00+00:00,10.0
2023-12-20 06:20:00+00:00,10.0
2023-12-20 06:30:00+00:00,10.0
2023-12-20 06:40:00+00:00,10.0
2023-12-20 06:50:00+00:00,10.0
2023-12-20 07:00:00+00:00,10.0
2023-12-20 07:10:00+00:00,10.0
2023-12-20 07:20:00+00:00,10.0
2023-12-20 07:30:00+00:00,10.0
2023-12-20 07:40:00+00:00,10.0
2023-12-20 07:50:00+00:00,10.0
2023-12-20 08:00:00+00:00,10.0
2023-12-20 08:10:00+00:00,10.0
2023-12-20 08:20:00+00:00,10.0
2023-12-20 08:30:00+00:00,10.0
2023-12-20 08:40:00+00:00,10.0
2023-12-20 08:50:00+00:00,10.0
2023-12-20 09:00:00+00:00,10.0
2023-12-20 09:10:00+00:00,10.0
2023-12-20 09:30:00+00:00,10.0
2023-12-20 09:40:00+00:00,10.0
2023-12-20 09:50:00+00:00,10.0
2023-12-20 10:00:00+00:00,10.0
2023-12-20 10:10:00+00:00,10.0
2023-12-20 10:20:00+00:00,10.0
2023-12-20 10:30:00+00:00,10.0
2023-12-20 10:40:00+00:00,10.0
2023-12-20 10:50:00+00:00,10.0
2023-12-20 11:00:00+00:00,10.0
2023-12-20 11:10:00+00:00,10.0
2023-12-20 11:20:00+00:00,10.0
2023-12-20 11:30:00+00:00,10.0
2023-12-20 11:40:00+00:00,10.0
2023-12-20 11:50:00+00:00,10.0
2023-12-20 12:00:00+00:00,10.0
2023-12-20 12:10:00+00:00,10.0
2023-12-20 12:20:00+00:00,10.0
2023-12-20 12:30:00+00:00,10.0
2023-12-20 12:40:00+00:00,10.0
2023-12-20 12:50:00+00:00,10.0
2023-12-20 13:00:00+00:00,10.0
2023-12-20 13:10:00+00:00,10.0
2023-12-20 13:20:00+00:00,10.0
2023-12-20 13:30:00+00:00,10.0
2023-12-20 13:40:00+00:00,10.0
2023-12-20 13:50:00+00:00,10.0
2023-12-20 14:00:00+00:00,10.0
2023-12-20 14:10:00+00:00,10.0
2023-12-20 14:20:00+00:00,10.0
2023-12-20 14:30:00+00:00,10.0
